id,epic_points_1,epic_points_2,epic_points_3,epic_points_4,epic_points_5,rare_points_1,rare_points_2,rare_points_3,rare_points_4,rare_points_5,uncm_points_1,uncm_points_2,uncm_points_3,uncm_points_4,uncm_points_5
567,177,133,100,76,56,177,133,100,76,56,177,133,100,76,56
568,178,134,100,76,56,178,134,100,76,56,178,134,100,76,56
569,180,135,101,77,57,180,135,101,77,57,180,135,101,77,57
570,182,137,102,78,58,182,137,102,78,58,182,137,102,78,58
571,183,137,103,78,58,183,137,103,78,58,183,137,103,78,58
572,185,139,104,79,59,185,139,104,79,59,185,139,104,79,59
573,187,140,105,80,59,187,140,105,80,59,187,140,105,80,59
574,188,141,106,81,59,188,141,106,81,59,188,141,106,81,59
575,190,143,107,81,60,190,143,107,81,60,190,143,107,81,60
576,192,144,108,82,61,192,144,108,82,61,192,144,108,82,61
577,194,146,109,83,61,194,146,109,83,61,194,146,109,83,61
578,196,147,110,84,62,196,147,110,84,62,196,147,110,84,62
579,197,148,111,84,62,197,148,111,84,62,197,148,111,84,62
580,199,149,112,85,63,199,149,112,85,63,199,149,112,85,63
581,201,151,113,86,64,201,151,113,86,64,201,151,113,86,64
582,203,152,114,87,64,203,152,114,87,64,203,152,114,87,64
583,205,154,115,88,65,205,154,115,88,65,205,154,115,88,65
584,207,155,116,89,65,207,155,116,89,65,207,155,116,89,65
585,209,157,118,90,66,209,157,118,90,66,209,157,118,90,66
586,211,158,119,90,67,211,158,119,90,67,211,158,119,90,67
587,213,160,120,91,67,213,160,120,91,67,213,160,120,91,67
588,215,161,121,92,68,215,161,121,92,68,215,161,121,92,68
589,217,163,122,93,69,217,163,122,93,69,217,163,122,93,69
590,219,164,123,94,69,219,164,123,94,69,219,164,123,94,69
591,221,166,124,95,70,221,166,124,95,70,221,166,124,95,70
592,223,167,125,96,71,223,167,125,96,71,223,167,125,96,71
593,225,169,127,96,71,225,169,127,96,71,225,169,127,96,71
594,227,170,128,97,72,227,170,128,97,72,227,170,128,97,72
595,229,172,129,98,72,229,172,129,98,72,229,172,129,98,72
596,231,173,130,99,73,231,173,130,99,73,231,173,130,99,73
597,234,176,132,100,74,234,176,132,100,74,234,176,132,100,74
598,236,177,133,101,75,236,177,133,101,75,236,177,133,101,75
599,238,179,134,102,75,238,179,134,102,75,238,179,134,102,75
600,240,180,135,103,76,240,180,135,103,76,240,180,135,103,76
601,242,182,136,104,77,242,182,136,104,77,242,182,136,104,77
602,245,184,138,105,78,245,184,138,105,78,245,184,138,105,78
603,247,185,139,106,78,247,185,139,106,78,247,185,139,106,78
604,249,187,140,107,79,249,187,140,107,79,249,187,140,107,79
605,252,189,142,108,80,252,189,142,108,80,252,189,142,108,80
606,254,191,143,109,80,254,191,143,109,80,254,191,143,109,80
607,256,192,144,110,81,256,192,144,110,81,256,192,144,110,81
608,259,194,146,111,82,259,194,146,111,82,259,194,146,111,82
609,261,196,147,112,83,261,196,147,112,83,261,196,147,112,83
610,264,198,149,113,84,264,198,149,113,84,264,198,149,113,84
611,266,200,150,114,84,266,200,150,114,84,266,200,150,114,84
612,269,202,151,115,85,269,202,151,115,85,269,202,151,115,85
613,271,203,152,116,86,271,203,152,116,86,271,203,152,116,86
614,274,206,154,117,87,274,206,154,117,87,274,206,154,117,87
615,276,207,155,118,87,276,207,155,118,87,276,207,155,118,87
616,279,209,157,120,88,279,209,157,120,88,279,209,157,120,88
617,281,211,158,120,89,281,211,158,120,89,281,211,158,120,89
618,284,213,160,122,90,284,213,160,122,90,284,213,160,122,90
619,287,215,161,123,91,287,215,161,123,91,287,215,161,123,91
620,289,217,163,124,91,289,217,163,124,91,289,217,163,124,91
621,292,219,164,125,92,292,219,164,125,92,292,219,164,125,92
622,295,221,166,126,93,295,221,166,126,93,295,221,166,126,93
623,298,224,168,128,94,298,224,168,128,94,298,224,168,128,94
624,300,225,169,129,95,300,225,169,129,95,300,225,169,129,95
625,303,227,170,130,96,303,227,170,130,96,303,227,170,130,96
626,306,230,172,131,97,306,230,172,131,97,306,230,172,131,97
627,309,232,174,132,98,309,232,174,132,98,309,232,174,132,98
628,312,234,176,134,99,312,234,176,134,99,312,234,176,134,99
629,315,236,177,135,100,315,236,177,135,100,315,236,177,135,100
630,318,239,179,136,101,318,239,179,136,101,318,239,179,136,101
631,321,241,181,138,102,321,241,181,138,102,321,241,181,138,102
632,324,243,182,139,103,324,243,182,139,103,324,243,182,139,103
633,327,245,184,140,103,327,245,184,140,103,327,245,184,140,103
634,330,248,186,141,104,330,248,186,141,104,330,248,186,141,104
635,333,250,187,143,105,333,250,187,143,105,333,250,187,143,105
636,336,252,189,144,106,336,252,189,144,106,336,252,189,144,106
637,339,254,191,145,107,339,254,191,145,107,339,254,191,145,107
638,342,257,192,147,108,342,257,192,147,108,342,257,192,147,108
639,345,259,194,148,109,345,259,194,148,109,345,259,194,148,109
640,349,262,196,150,110,349,262,196,150,110,349,262,196,150,110
641,352,264,198,151,111,352,264,198,151,111,352,264,198,151,111
642,355,266,200,152,112,355,266,200,152,112,355,266,200,152,112
643,358,269,201,153,113,358,269,201,153,113,358,269,201,153,113
644,362,272,204,155,115,362,272,204,155,115,362,272,204,155,115
645,365,274,205,156,115,365,274,205,156,115,365,274,205,156,115
646,369,277,208,158,117,369,277,208,158,117,369,277,208,158,117
647,372,279,209,159,118,372,279,209,159,118,372,279,209,159,118
648,376,282,212,161,119,376,282,212,161,119,376,282,212,161,119
649,379,284,213,162,120,379,284,213,162,120,379,284,213,162,120
650,383,287,215,164,121,383,287,215,164,121,383,287,215,164,121
651,386,290,217,165,122,386,290,217,165,122,386,290,217,165,122
652,390,293,219,167,123,390,293,219,167,123,390,293,219,167,123
653,393,295,221,168,124,393,295,221,168,124,393,295,221,168,124
654,397,298,223,170,126,397,298,223,170,126,397,298,223,170,126
655,401,301,226,172,127,401,301,226,172,127,401,301,226,172,127
656,405,304,228,174,128,405,304,228,174,128,405,304,228,174,128
657,408,306,230,175,129,408,306,230,175,129,408,306,230,175,129
658,412,309,232,177,130,412,309,232,177,130,412,309,232,177,130
659,416,312,234,178,132,416,312,234,178,132,416,312,234,178,132
660,420,315,236,180,133,420,315,236,180,133,420,315,236,180,133
661,424,318,239,182,134,424,318,239,182,134,424,318,239,182,134
662,428,321,241,183,135,428,321,241,183,135,428,321,241,183,135
663,432,324,243,185,137,432,324,243,185,137,432,324,243,185,137
664,436,327,245,187,138,436,327,245,187,138,436,327,245,187,138
665,440,330,248,189,139,440,330,248,189,139,440,330,248,189,139
666,444,333,250,190,140,444,333,250,190,140,444,333,250,190,140
667,448,336,252,192,142,448,336,252,192,142,448,336,252,192,142
668,452,339,254,194,143,452,339,254,194,143,452,339,254,194,143
669,457,343,257,196,145,457,343,257,196,145,457,343,257,196,145
670,461,346,259,198,146,461,346,259,198,146,461,346,259,198,146
671,465,349,262,199,147,465,349,262,199,147,465,349,262,199,147
672,470,353,264,201,149,470,353,264,201,149,470,353,264,201,149
673,474,356,267,203,150,474,356,267,203,150,474,356,267,203,150
674,479,359,269,205,152,479,359,269,205,152,479,359,269,205,152
675,483,362,272,207,153,483,362,272,207,153,483,362,272,207,153
676,488,366,275,209,154,488,366,275,209,154,488,366,275,209,154
677,492,369,277,211,156,492,369,277,211,156,492,369,277,211,156
678,497,373,280,213,157,497,373,280,213,157,497,373,280,213,157
679,501,376,282,215,159,501,376,282,215,159,501,376,282,215,159
680,506,380,285,217,160,506,380,285,217,160,506,380,285,217,160
681,511,383,287,219,162,511,383,287,219,162,511,383,287,219,162
682,516,387,290,221,163,516,387,290,221,163,516,387,290,221,163
683,520,390,293,223,165,520,390,293,223,165,520,390,293,223,165
684,525,394,295,225,166,525,394,295,225,166,525,394,295,225,166
685,530,398,298,227,168,530,398,298,227,168,530,398,298,227,168
686,535,401,301,229,169,535,401,301,229,169,535,401,301,229,169
687,540,405,304,231,171,540,405,304,231,171,540,405,304,231,171
688,545,409,307,234,172,545,409,307,234,172,545,409,307,234,172
689,550,413,309,236,174,550,413,309,236,174,550,413,309,236,174
690,555,416,312,238,176,555,416,312,238,176,555,416,312,238,176
691,561,421,316,240,178,561,421,316,240,178,561,421,316,240,178
692,566,425,318,243,179,566,425,318,243,179,566,425,318,243,179
693,571,428,321,245,181,571,428,321,245,181,571,428,321,245,181
694,577,433,325,247,183,577,433,325,247,183,577,433,325,247,183
695,582,437,327,249,184,582,437,327,249,184,582,437,327,249,184
696,587,440,330,252,186,587,440,330,252,186,587,440,330,252,186
697,593,445,334,254,188,593,445,334,254,188,593,445,334,254,188
698,598,449,336,256,189,598,449,336,256,189,598,449,336,256,189
699,604,453,340,259,191,604,453,340,259,191,604,453,340,259,191
700,610,458,343,261,193,610,458,343,261,193,610,458,343,261,193
701,615,461,346,264,195,615,461,346,264,195,615,461,346,264,195
702,621,466,349,266,196,621,466,349,266,196,621,466,349,266,196
703,627,470,353,269,198,627,470,353,269,198,627,470,353,269,198
704,633,475,356,271,200,633,475,356,271,200,633,475,356,271,200
705,639,479,359,274,202,639,479,359,274,202,639,479,359,274,202
706,645,484,363,276,204,645,484,363,276,204,645,484,363,276,204
707,651,488,366,279,206,651,488,366,279,206,651,488,366,279,206
708,657,493,370,282,208,657,493,370,282,208,657,493,370,282,208
709,663,497,373,284,210,663,497,373,284,210,663,497,373,284,210
710,669,502,376,287,212,669,502,376,287,212,669,502,376,287,212
711,675,506,380,289,214,675,506,380,289,214,675,506,380,289,214
712,682,512,384,292,216,682,512,384,292,216,682,512,384,292,216
713,688,516,387,295,218,688,516,387,295,218,688,516,387,295,218
714,695,521,391,298,220,695,521,391,298,220,695,521,391,298,220
715,701,526,394,300,222,701,526,394,300,222,701,526,394,300,222
716,708,531,398,303,224,708,531,398,303,224,708,531,398,303,224
717,714,536,402,306,226,714,536,402,306,226,714,536,402,306,226
718,721,541,406,309,228,721,541,406,309,228,721,541,406,309,228
719,728,546,410,312,230,728,546,410,312,230,728,546,410,312,230
720,735,551,413,315,233,735,551,413,315,233,735,551,413,315,233
721,741,556,417,318,234,741,556,417,318,234,741,556,417,318,234
722,748,561,421,321,237,748,561,421,321,237,748,561,421,321,237
723,755,566,425,324,239,755,566,425,324,239,755,566,425,324,239
724,762,572,429,327,241,762,572,429,327,241,762,572,429,327,241
725,770,578,433,330,244,770,578,433,330,244,770,578,433,330,244
726,777,583,437,333,246,777,583,437,333,246,777,583,437,333,246
727,784,588,441,336,248,784,588,441,336,248,784,588,441,336,248
728,791,593,445,339,250,791,593,445,339,250,791,593,445,339,250
729,799,599,449,342,253,799,599,449,342,253,799,599,449,342,253
730,806,605,453,345,255,806,605,453,345,255,806,605,453,345,255
731,814,611,458,349,258,814,611,458,349,258,814,611,458,349,258
732,821,616,462,352,260,821,616,462,352,260,821,616,462,352,260
733,829,622,466,355,262,829,622,466,355,262,829,622,466,355,262
734,837,628,471,359,265,837,628,471,359,265,837,628,471,359,265
735,845,634,475,362,267,845,634,475,362,267,845,634,475,362,267
736,853,640,480,366,270,853,640,480,366,270,853,640,480,366,270
737,861,646,484,369,272,861,646,484,369,272,861,646,484,369,272
738,869,652,489,372,275,869,652,489,372,275,869,652,489,372,275
739,877,658,493,376,277,877,658,493,376,277,877,658,493,376,277
740,885,664,498,379,280,885,664,498,379,280,885,664,498,379,280
741,893,670,502,383,283,893,670,502,383,283,893,670,502,383,283
742,902,677,507,387,285,902,677,507,387,285,902,677,507,387,285
743,910,683,512,390,288,910,683,512,390,288,910,683,512,390,288
744,919,689,517,394,291,919,689,517,394,291,919,689,517,394,291
745,927,695,521,397,293,927,695,521,397,293,927,695,521,397,293
746,936,702,527,401,296,936,702,527,401,296,936,702,527,401,296
747,945,709,532,405,299,945,709,532,405,299,945,709,532,405,299
748,954,716,537,409,302,954,716,537,409,302,954,716,537,409,302
749,962,722,541,412,304,962,722,541,412,304,962,722,541,412,304
750,971,728,546,416,307,971,728,546,416,307,971,728,546,416,307
751,981,736,552,420,310,981,736,552,420,310,981,736,552,420,310
752,990,743,557,424,313,990,743,557,424,313,990,743,557,424,313
753,999,749,562,428,316,999,749,562,428,316,999,749,562,428,316
754,1008,756,567,432,319,1008,756,567,432,319,1008,756,567,432,319
755,1018,764,573,436,322,1018,764,573,436,322,1018,764,573,436,322
756,1027,770,578,440,325,1027,770,578,440,325,1027,770,578,440,325
757,1037,778,583,444,328,1037,778,583,444,328,1037,778,583,444,328
758,1047,785,589,449,331,1047,785,589,449,331,1047,785,589,449,331
759,1056,792,594,453,334,1056,792,594,453,334,1056,792,594,453,334
760,1066,800,600,457,337,1066,800,600,457,337,1066,800,600,457,337
761,1076,807,605,461,340,1076,807,605,461,340,1076,807,605,461,340
762,1086,815,611,465,344,1086,815,611,465,344,1086,815,611,465,344
763,1097,823,617,470,347,1097,823,617,470,347,1097,823,617,470,347
764,1107,830,623,474,350,1107,830,623,474,350,1107,830,623,474,350
765,1117,838,628,479,353,1117,838,628,479,353,1117,838,628,479,353
766,1128,846,635,483,357,1128,846,635,483,357,1128,846,635,483,357
767,1138,854,640,488,360,1138,854,640,488,360,1138,854,640,488,360
768,1149,862,646,492,364,1149,862,646,492,364,1149,862,646,492,364
769,1160,870,653,497,367,1160,870,653,497,367,1160,870,653,497,367
770,1170,878,658,501,370,1170,878,658,501,370,1170,878,658,501,370
771,1181,886,664,506,374,1181,886,664,506,374,1181,886,664,506,374
772,1192,894,671,511,377,1192,894,671,511,377,1192,894,671,511,377
773,1204,903,677,516,381,1204,903,677,516,381,1204,903,677,516,381
774,1215,911,683,521,384,1215,911,683,521,384,1215,911,683,521,384
775,1226,920,690,525,388,1226,920,690,525,388,1226,920,690,525,388
776,1238,929,696,531,392,1238,929,696,531,392,1238,929,696,531,392
777,1249,937,703,535,395,1249,937,703,535,395,1249,937,703,535,395
778,1261,946,709,540,399,1261,946,709,540,399,1261,946,709,540,399
779,1273,955,716,546,403,1273,955,716,546,403,1273,955,716,546,403
780,1285,964,723,551,407,1285,964,723,551,407,1285,964,723,551,407
781,1297,973,730,556,410,1297,973,730,556,410,1297,973,730,556,410
782,1309,982,736,561,414,1309,982,736,561,414,1309,982,736,561,414
783,1321,991,743,566,418,1321,991,743,566,418,1321,991,743,566,418
784,1334,1001,750,572,422,1334,1001,750,572,422,1334,1001,750,572,422
785,1346,1010,757,577,426,1346,1010,757,577,426,1346,1010,757,577,426
