id,id_property_1,id_property_2,id_property_3,desc,coeff_1,coeff_2,coeff_3,unk_7,unk_8,amount_1,amount_2,amount_3,id_aura,slot,req_skill,req_skill_value,min_scaling_level,charges,type_1,type_2,type_3,unk_1,req_player_level,max_scaling_level,scaling_type,unk_6,unk_5
26,96089,0,0,"Frost Oil",0.000000,0.000000,0.000000,0,0,10,0,0,27,0,0,0,30,0,1,0,0,0,0,0,0,0,0
27,0,0,0,"Sundered",0.000000,0.000000,0.000000,0,0,-10,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
28,7438,0,0,"+4 All Resistances",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
30,0,0,0,"Scope (+$k1 Damage)",0.030000,0.000000,0.000000,0,0,1,0,0,0,32,0,0,5,0,2,0,0,0,0,60,-1,0,0
31,7433,0,0,"+4 Beastslaying",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
32,0,0,0,"Scope (+$k1 Damage)",0.060000,0.000000,0.000000,0,0,2,0,0,0,32,0,0,10,0,2,0,0,0,0,60,-1,0,0
33,0,0,0,"Scope (+$k1 Damage)",0.100000,0.000000,0.000000,0,0,3,0,0,0,33,0,0,20,0,2,0,0,0,0,60,-1,0,0
34,36,0,0,"Counterweight (+$k1 Haste)",0.600000,0.000000,0.000000,0,0,20,0,0,0,32,0,0,1,0,5,0,0,0,0,60,-1,0,0
36,6297,0,0,"Enchant: Fiery Blaze",0.000000,0.000000,0.000000,0,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
37,43588,0,0,"Steel Weapon Chain",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
38,13,0,0,"+$k1 Dodge",0.000000,0.000000,0.000000,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
39,0,0,0,"Sharpened (+$k1 Damage)",0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
40,0,0,0,"Sharpened (+$k1 Damage)",0.670000,0.000000,0.000000,0,0,2,0,0,28,33,0,0,1,0,2,0,0,0,0,1,-1,0,0
41,1,0,0,"+$k1 Health",0.150000,0.000000,0.000000,0,0,5,0,0,0,32,0,0,1,0,5,0,0,0,0,60,-1,0,0
43,9784,0,0,"Iron Spike (8-12)",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
44,7445,0,0,"Absorption ($7423s1)",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
63,7446,0,0,"Absorption ($7447s1)",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
64,40,0,0,"+$k1 Versatility",0.000000,0.000000,0.000000,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
65,7452,0,0,"+$7452s1 All Resistances",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
66,7,0,0,"+$k1 Stamina",0.030000,0.000000,0.000000,0,0,1,0,0,0,32,0,0,1,0,5,0,0,0,0,60,-1,0,0
67,0,0,0,"+$k1 Damage",0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
68,4,0,0,"+$k1 Strength",0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
69,4,0,0,"+$k1 Strength",0.000000,0.000000,0.000000,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
70,4,0,0,"+$k1 Strength",0.000000,0.000000,0.000000,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
71,7,0,0,"+$k1 Stamina",0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
72,7,0,0,"+$k1 Stamina",0.000000,0.000000,0.000000,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
73,7,0,0,"+$k1 Stamina",0.000000,0.000000,0.000000,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
74,3,0,0,"+$k1 Agility",0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
75,3,0,0,"+$k1 Agility",0.400000,0.000000,0.000000,0,0,2,0,0,0,32,0,0,0,0,5,0,0,0,0,60,-3,0,0
76,3,0,0,"+$k1 Agility",0.600000,0.000000,0.000000,0,0,3,0,0,0,32,0,0,0,0,5,0,0,0,0,60,-3,0,0
77,0,0,0,"+$k1 Damage",0.000000,0.000000,0.000000,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
78,0,0,0,"+$k1 Damage",0.000000,0.000000,0.000000,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
79,5,0,0,"+$k1 Intellect",0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
80,5,0,0,"+$k1 Intellect",0.000000,0.000000,0.000000,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
81,5,0,0,"+$k1 Intellect",0.300000,0.000000,0.000000,0,0,3,0,0,0,32,0,0,0,0,5,0,0,0,0,70,-5,0,0
82,40,0,0,"+$k1 Versatility",0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
83,40,0,0,"+$k1 Versatility",0.000000,0.000000,0.000000,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
84,40,0,0,"+$k1 Versatility",0.000000,0.000000,0.000000,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
85,0,0,0,"+$k1 Armor",0.000000,0.000000,0.000000,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
86,0,0,0,"+$k1 Armor",0.000000,0.000000,0.000000,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
87,0,0,0,"+$k1 Armor",0.000000,0.000000,0.000000,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
88,0,0,0,"",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,"+$k1 Armor",0.000000,0.000000,0.000000,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
90,3,0,0,"+$k1 Agility",0.400000,0.000000,0.000000,0,0,4,0,0,0,32,0,0,0,0,5,0,0,0,0,70,-5,0,0
91,3,0,0,"+$k1 Agility",0.000000,0.000000,0.000000,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
92,3,0,0,"+$k1 Agility",0.000000,0.000000,0.000000,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
93,3,0,0,"+$k1 Agility",0.000000,0.000000,0.000000,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
94,5,0,0,"+$k1 Intellect",0.400000,0.000000,0.000000,0,0,4,0,0,0,32,0,0,0,0,5,0,0,0,0,70,-5,0,0
95,5,0,0,"+$k1 Intellect",0.000000,0.000000,0.000000,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
96,5,0,0,"+$k1 Intellect",0.000000,0.000000,0.000000,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
97,5,0,0,"+$k1 Intellect",0.000000,0.000000,0.000000,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
98,40,0,0,"+$k1 Versatility",0.000000,0.000000,0.000000,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
99,40,0,0,"+$k1 Versatility",0.000000,0.000000,0.000000,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
100,40,0,0,"+$k1 Versatility",0.000000,0.000000,0.000000,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
101,40,0,0,"+$k1 Versatility",0.000000,0.000000,0.000000,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
102,7,0,0,"+$k1 Stamina",0.000000,0.000000,0.000000,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
103,7,0,0,"+$k1 Stamina",0.000000,0.000000,0.000000,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
104,7,0,0,"+$k1 Stamina",0.000000,0.000000,0.000000,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
105,7,0,0,"+$k1 Stamina",0.000000,0.000000,0.000000,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
106,4,0,0,"+$k1 Strength",0.000000,0.000000,0.000000,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
107,4,0,0,"+$k1 Strength",0.000000,0.000000,0.000000,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
108,4,0,0,"+$k1 Strength",0.000000,0.000000,0.000000,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
109,4,0,0,"+$k1 Strength",0.000000,0.000000,0.000000,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
110,13,0,0,"+$k1 Dodge",0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
111,13,0,0,"+$k1 Dodge",0.000000,0.000000,0.000000,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
112,13,0,0,"+$k1 Dodge",0.000000,0.000000,0.000000,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
113,13,0,0,"+$k1 Dodge",0.000000,0.000000,0.000000,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
114,13,0,0,"+$k1 Dodge",0.000000,0.000000,0.000000,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
115,13,0,0,"+$k1 Dodge",0.000000,0.000000,0.000000,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
116,13,0,0,"+$k1 Dodge",0.000000,0.000000,0.000000,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
117,0,0,0,"+$k1 Damage",0.000000,0.000000,0.000000,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
118,0,0,0,"+$k1 Damage",0.000000,0.000000,0.000000,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
119,0,0,0,"+$k1 Damage",0.000000,0.000000,0.000000,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
120,0,0,0,"+$k1 Damage",0.000000,0.000000,0.000000,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
121,0,0,0,"+$k1 Armor",0.000000,0.000000,0.000000,0,0,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
122,0,0,0,"+$k1 Armor",0.000000,0.000000,0.000000,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
123,0,0,0,"+$k1 Armor",0.000000,0.000000,0.000000,0,0,28,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
125,7520,0,0,"+1 Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
126,7522,0,0,"+2 Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
127,7523,0,0,"+3 Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
128,7524,0,0,"+4 Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
129,7525,0,0,"+5 Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
130,7526,0,0,"+6 Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
131,7527,0,0,"+7 Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
132,7529,0,0,"+1 Two-Handed Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
133,7561,0,0,"+2 Two-Handed Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
134,7562,0,0,"+3 Two-Handed Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
135,7563,0,0,"+4 Two-Handed Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
136,7564,0,0,"+5 Two-Handed Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
137,7565,0,0,"+6 Two-Handed Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
138,7566,0,0,"+7 Two-Handed Sword Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
139,7532,0,0,"+1 Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
140,7543,0,0,"+2 Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
141,7544,0,0,"+3 Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
142,7545,0,0,"+4 Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
143,7546,0,0,"+5 Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
144,7547,0,0,"+6 Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
145,7548,0,0,"+7 Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
146,7533,0,0,"+1 Two-Handed Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
147,7555,0,0,"+2 Two-Handed Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
148,7556,0,0,"+3 Two-Handed Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
149,7557,0,0,"+4 Two-Handed Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
150,7558,0,0,"+5 Two-Handed Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
151,7559,0,0,"+6 Two-Handed Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
152,7560,0,0,"+7 Two-Handed Mace Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
153,7530,0,0,"+1 Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
154,7537,0,0,"+2 Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
155,7538,0,0,"+3 Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
156,7539,0,0,"+4 Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
157,7540,0,0,"+5 Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
158,7541,0,0,"+6 Ase Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
159,7542,0,0,"+7 Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
160,7549,0,0,"+1 Two-Handed Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
161,7531,0,0,"+2 Two-Handed Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
162,7550,0,0,"+3 Two-Handed Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
163,7551,0,0,"+4 Two-Handed Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
164,7552,0,0,"+5 Two-Handed Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
165,7553,0,0,"+6 Two-Handed Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
166,7554,0,0,"+7 Two-Handed Axe Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
167,7534,0,0,"+1 Dagger Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
168,7573,0,0,"+2 Dagger Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
169,7574,0,0,"+3 Dagger Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
170,7575,0,0,"+4 Dagger Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
171,7576,0,0,"+5 Dagger Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
172,7577,0,0,"+6 Dagger Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
173,7578,0,0,"+7 Dagger Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
174,7536,0,0,"+1 Gun Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
175,7579,0,0,"+2 Gun Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
176,7580,0,0,"+3 Gun Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
177,7581,0,0,"+4 Gun Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
178,7582,0,0,"+5 Gun Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
179,7583,0,0,"+6 Gun Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
180,7584,0,0,"+7 Gun Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
181,7535,0,0,"+1 Bow Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
182,7567,0,0,"+2 Bow Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
183,7568,0,0,"+3 Bow Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
184,7569,0,0,"+4 Bow Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
185,7570,0,0,"+5 Bow Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
186,7571,0,0,"+6 Bow Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
187,7572,0,0,"+7 Bow Skill",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
188,7590,0,0,"+$7590s1 Beast Slaying",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
189,7591,0,0,"+$7591s1 Beast Slaying",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
190,7592,0,0,"+$7592s1 Beast Slaying",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
191,7593,0,0,"+$7593s1 Beast Slaying",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
192,7594,0,0,"+$7594s1 Beast Slaying",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
193,7595,0,0,"+$7595s1 Beast Slaying",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
194,7596,0,0,"+$7596s1 Beast Slaying",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
195,32,0,0,"+$k1 Critical Strike",0.000000,0.000000,0.000000,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
196,32,0,0,"+$k1 Critical Strike",0.000000,0.000000,0.000000,0,0,28,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
197,32,0,0,"+$k1 Critical Strike",0.000000,0.000000,0.000000,0,0,42,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
198,32,0,0,"+$k1 Critical Strike",0.000000,0.000000,0.000000,0,0,56,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
199,7601,0,0,"10% On Get Hit: Shadow Bolt (10 Damage)",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
200,7614,0,0,"10% On Get Hit: Shadow Bolt (20 Damage)",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
201,7615,0,0,"10% On Get Hit: Shadow Bolt (30 Damage)",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
202,7616,0,0,"10% On Get Hit: Shadow Bolt (40 Damage)",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
203,7617,0,0,"10% On Get Hit: Shadow Bolt (50 Damage)",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
204,7618,0,0,"10% On Get Hit: Shadow Bolt (60 Damage)",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
205,7619,0,0,"10% On Get Hit: Shadow Bolt (70 Damage)",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
206,45,0,0,"+$k1 Spell Power",0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
207,45,0,0,"+$k1 Spell Power",0.000000,0.000000,0.000000,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
208,45,0,0,"+$k1 Spell Power",0.000000,0.000000,0.000000,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
209,45,0,0,"+$k1 Spell Power",0.000000,0.000000,0.000000,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
210,9396,0,0,"+$9396s1 Spell Power",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
211,45,0,0,"+$k1 Spell Power",0.000000,0.000000,0.000000,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
212,45,0,0,"+$k1 Spell Power",0.000000,0.000000,0.000000,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
213,7683,0,0,"+$7683s1 Fire Spell Damage",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
214,7684,0,0,"+$7684s1 Fire Spell Damage",0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
